step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
24,transparent,ENGLAND,ENGLAND,1,3,3
24,transparent,FRANCE,ENGLAND,0,5,3
24,transparent,GERMANY,ENGLAND,0,10,3
24,transparent,ITALY,ENGLAND,1,6,3
24,transparent,RUSSIA,ENGLAND,1,6,3
24,transparent,TURKEY,ENGLAND,1,4,3
24,transparent,ENGLAND,FRANCE,0,3,5
24,transparent,FRANCE,FRANCE,1,5,5
24,transparent,GERMANY,FRANCE,0,10,5
24,transparent,ITALY,FRANCE,1,6,5
24,transparent,RUSSIA,FRANCE,1,6,5
24,transparent,TURKEY,FRANCE,1,4,5
24,transparent,ENGLAND,GERMANY,0,3,10
24,transparent,FRANCE,GERMANY,0,5,10
24,transparent,GERMANY,GERMANY,1,10,10
24,transparent,ITALY,GERMANY,1,6,10
24,transparent,RUSSIA,GERMANY,1,6,10
24,transparent,TURKEY,GERMANY,1,4,10
24,transparent,ENGLAND,ITALY,1,3,6
24,transparent,FRANCE,ITALY,1,5,6
24,transparent,GERMANY,ITALY,1,10,6
24,transparent,ITALY,ITALY,1,6,6
24,transparent,RUSSIA,ITALY,0,6,6
24,transparent,TURKEY,ITALY,0,4,6
24,transparent,ENGLAND,RUSSIA,1,3,6
24,transparent,FRANCE,RUSSIA,1,5,6
24,transparent,GERMANY,RUSSIA,0,10,6
24,transparent,ITALY,RUSSIA,0,6,6
24,transparent,RUSSIA,RUSSIA,1,6,6
24,transparent,TURKEY,RUSSIA,0,4,6
24,transparent,ENGLAND,TURKEY,1,3,4
24,transparent,FRANCE,TURKEY,1,5,4
24,transparent,GERMANY,TURKEY,1,10,4
24,transparent,ITALY,TURKEY,0,6,4
24,transparent,RUSSIA,TURKEY,0,6,4
24,transparent,TURKEY,TURKEY,1,4,4
27,transparent,ENGLAND,ENGLAND,1,3,3
27,transparent,FRANCE,ENGLAND,0,6,3
27,transparent,GERMANY,ENGLAND,0,9,3
27,transparent,ITALY,ENGLAND,1,7,3
27,transparent,RUSSIA,ENGLAND,1,5,3
27,transparent,TURKEY,ENGLAND,1,4,3
27,transparent,ENGLAND,FRANCE,0,3,6
27,transparent,FRANCE,FRANCE,1,6,6
27,transparent,GERMANY,FRANCE,0,9,6
27,transparent,ITALY,FRANCE,1,7,6
27,transparent,RUSSIA,FRANCE,1,5,6
27,transparent,TURKEY,FRANCE,1,4,6
27,transparent,ENGLAND,GERMANY,0,3,9
27,transparent,FRANCE,GERMANY,0,6,9
27,transparent,GERMANY,GERMANY,1,9,9
27,transparent,ITALY,GERMANY,1,7,9
27,transparent,RUSSIA,GERMANY,1,5,9
27,transparent,TURKEY,GERMANY,0,4,9
27,transparent,ENGLAND,ITALY,1,3,7
27,transparent,FRANCE,ITALY,1,6,7
27,transparent,GERMANY,ITALY,1,9,7
27,transparent,ITALY,ITALY,1,7,7
27,transparent,RUSSIA,ITALY,0,5,7
27,transparent,TURKEY,ITALY,0,4,7
27,transparent,ENGLAND,RUSSIA,1,3,5
27,transparent,FRANCE,RUSSIA,1,6,5
27,transparent,GERMANY,RUSSIA,0,9,5
27,transparent,ITALY,RUSSIA,0,7,5
27,transparent,RUSSIA,RUSSIA,1,5,5
27,transparent,TURKEY,RUSSIA,0,4,5
27,transparent,ENGLAND,TURKEY,1,3,4
27,transparent,FRANCE,TURKEY,1,6,4
27,transparent,GERMANY,TURKEY,1,9,4
27,transparent,ITALY,TURKEY,0,7,4
27,transparent,RUSSIA,TURKEY,0,5,4
27,transparent,TURKEY,TURKEY,1,4,4
29,transparent,ENGLAND,ENGLAND,1,3,3
29,transparent,FRANCE,ENGLAND,0,6,3
29,transparent,GERMANY,ENGLAND,0,9,3
29,transparent,ITALY,ENGLAND,1,7,3
29,transparent,RUSSIA,ENGLAND,1,5,3
29,transparent,TURKEY,ENGLAND,1,4,3
29,transparent,ENGLAND,FRANCE,0,3,6
29,transparent,FRANCE,FRANCE,1,6,6
29,transparent,GERMANY,FRANCE,0,9,6
29,transparent,ITALY,FRANCE,1,7,6
29,transparent,RUSSIA,FRANCE,1,5,6
29,transparent,TURKEY,FRANCE,1,4,6
29,transparent,ENGLAND,GERMANY,0,3,9
29,transparent,FRANCE,GERMANY,0,6,9
29,transparent,GERMANY,GERMANY,1,9,9
29,transparent,ITALY,GERMANY,1,7,9
29,transparent,RUSSIA,GERMANY,1,5,9
29,transparent,TURKEY,GERMANY,0,4,9
29,transparent,ENGLAND,ITALY,1,3,7
29,transparent,FRANCE,ITALY,1,6,7
29,transparent,GERMANY,ITALY,1,9,7
29,transparent,ITALY,ITALY,1,7,7
29,transparent,RUSSIA,ITALY,0,5,7
29,transparent,TURKEY,ITALY,0,4,7
29,transparent,ENGLAND,RUSSIA,1,3,5
29,transparent,FRANCE,RUSSIA,1,6,5
29,transparent,GERMANY,RUSSIA,0,9,5
29,transparent,ITALY,RUSSIA,0,7,5
29,transparent,RUSSIA,RUSSIA,1,5,5
29,transparent,TURKEY,RUSSIA,0,4,5
29,transparent,ENGLAND,TURKEY,1,3,4
29,transparent,FRANCE,TURKEY,1,6,4
