step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
24,transparent,ITALY,RUSSIA,0,8,5
24,transparent,RUSSIA,RUSSIA,1,5,5
24,transparent,AUSTRIA,TURKEY,1,2,4
24,transparent,ENGLAND,TURKEY,1,4,4
24,transparent,FRANCE,TURKEY,1,5,4
24,transparent,GERMANY,TURKEY,1,6,4
24,transparent,ITALY,TURKEY,0,8,4
24,transparent,RUSSIA,TURKEY,0,5,4
24,RL,TURKEY,TURKEY,1,4,4
27,transparent,AUSTRIA,ENGLAND,1,0,4
27,transparent,ENGLAND,ENGLAND,1,4,4
27,transparent,FRANCE,ENGLAND,0,5,4
27,transparent,GERMANY,ENGLAND,0,5,4
27,transparent,ITALY,ENGLAND,1,11,4
27,transparent,RUSSIA,ENGLAND,1,4,4
27,transparent,AUSTRIA,FRANCE,1,0,5
27,transparent,ENGLAND,FRANCE,0,4,5
27,transparent,FRANCE,FRANCE,1,5,5
27,transparent,GERMANY,FRANCE,0,5,5
27,transparent,ITALY,FRANCE,1,11,5
27,transparent,RUSSIA,FRANCE,1,4,5
27,transparent,AUSTRIA,GERMANY,1,0,5
27,transparent,ENGLAND,GERMANY,0,4,5
27,transparent,FRANCE,GERMANY,0,5,5
27,transparent,GERMANY,GERMANY,1,5,5
27,transparent,ITALY,GERMANY,1,11,5
27,transparent,RUSSIA,GERMANY,0,4,5
27,transparent,AUSTRIA,ITALY,0,0,11
27,transparent,ENGLAND,ITALY,1,4,11
27,transparent,FRANCE,ITALY,1,5,11
27,transparent,GERMANY,ITALY,1,5,11
27,transparent,ITALY,ITALY,1,11,11
27,transparent,RUSSIA,ITALY,0,4,11
27,transparent,AUSTRIA,RUSSIA,0,0,4
27,transparent,ENGLAND,RUSSIA,1,4,4
27,transparent,FRANCE,RUSSIA,1,5,4
27,transparent,GERMANY,RUSSIA,0,5,4
27,transparent,ITALY,RUSSIA,0,11,4
27,transparent,RUSSIA,RUSSIA,1,4,4
27,transparent,AUSTRIA,TURKEY,1,0,5
27,transparent,ENGLAND,TURKEY,1,4,5
27,transparent,FRANCE,TURKEY,1,5,5
27,transparent,GERMANY,TURKEY,1,5,5
