step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
53,transparent,TURKEY,1,AUSTRIA ,0,,0
54,transparent,AUSTRIA,0,,0,,0
54,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
54,RL,FRANCE,0,,0,ITALY ,17
54,transparent,GERMANY,5,,0,ITALY ,17
54,transparent,ITALY,17,,0,ENGLAND RUSSIA ,11
54,transparent,RUSSIA,6,,0,ITALY ,17
54,transparent,TURKEY,1,AUSTRIA ,0,,0
55,transparent,AUSTRIA,0,,0,,0
55,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
55,RL,FRANCE,0,,0,,0
55,transparent,GERMANY,5,,0,ITALY ,17
55,transparent,ITALY,17,,0,ENGLAND RUSSIA ,11
55,transparent,RUSSIA,6,,0,ITALY ,17
55,transparent,TURKEY,1,AUSTRIA ,0,,0
56,transparent,AUSTRIA,0,,0,,0
56,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
56,RL,FRANCE,0,,0,,0
56,transparent,GERMANY,5,,0,ITALY ,17
56,transparent,ITALY,17,,0,ENGLAND RUSSIA ,11
56,transparent,RUSSIA,6,,0,ITALY ,17
56,transparent,TURKEY,1,AUSTRIA ,0,,0
58,transparent,AUSTRIA,0,,0,,0
58,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
58,RL,FRANCE,0,,0,,0
58,transparent,GERMANY,5,,0,ITALY ,17
58,transparent,ITALY,17,,0,ENGLAND GERMANY RUSSIA ,16
58,transparent,RUSSIA,6,,0,ITALY ,17
58,transparent,TURKEY,1,AUSTRIA ,0,,0
61,transparent,AUSTRIA,0,,0,,0
61,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
61,RL,FRANCE,0,,0,,0
61,transparent,GERMANY,5,,0,ITALY ,17
61,transparent,ITALY,17,,0,ENGLAND GERMANY RUSSIA ,16
61,transparent,RUSSIA,7,,0,ITALY ,17
61,transparent,TURKEY,1,AUSTRIA ,0,,0
62,transparent,AUSTRIA,0,,0,,0
62,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
62,RL,FRANCE,0,,0,,0
62,transparent,GERMANY,5,,0,ITALY ,17
62,transparent,ITALY,17,,0,ENGLAND GERMANY RUSSIA ,16
62,transparent,RUSSIA,7,,0,ITALY ,17
62,transparent,TURKEY,1,AUSTRIA ,0,,0
64,transparent,AUSTRIA,0,,0,,0
64,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
64,RL,FRANCE,0,,0,,0
64,transparent,GERMANY,5,,0,ITALY ,17
64,transparent,ITALY,17,,0,GERMANY RUSSIA ,11
64,transparent,RUSSIA,6,,0,ITALY ,17
64,transparent,TURKEY,1,AUSTRIA ,0,,0
66,transparent,AUSTRIA,0,,0,,0
66,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
66,RL,FRANCE,0,,0,,0
66,transparent,GERMANY,5,,0,ITALY ,17
66,transparent,ITALY,17,,0,RUSSIA ,6
66,transparent,RUSSIA,6,,0,ENGLAND ITALY ,22
66,transparent,TURKEY,1,AUSTRIA ,0,,0
