step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
17,transparent,TURKEY,AUSTRIA,0,3,1
17,transparent,AUSTRIA,ENGLAND,1,1,3
17,transparent,ENGLAND,ENGLAND,1,3,3
17,RL,FRANCE,ENGLAND,0,4,3
17,transparent,GERMANY,ENGLAND,1,8,3
17,transparent,ITALY,ENGLAND,1,9,3
17,transparent,RUSSIA,ENGLAND,1,6,3
17,transparent,TURKEY,ENGLAND,1,3,3
17,transparent,AUSTRIA,FRANCE,1,1,4
17,transparent,ENGLAND,FRANCE,0,3,4
17,RL,FRANCE,FRANCE,1,4,4
17,transparent,GERMANY,FRANCE,0,8,4
17,transparent,ITALY,FRANCE,1,9,4
17,transparent,RUSSIA,FRANCE,1,6,4
17,transparent,TURKEY,FRANCE,1,3,4
17,transparent,AUSTRIA,GERMANY,1,1,8
17,transparent,ENGLAND,GERMANY,0,3,8
17,transparent,GERMANY,GERMANY,1,8,8
17,transparent,ITALY,GERMANY,1,9,8
17,transparent,RUSSIA,GERMANY,1,6,8
17,transparent,TURKEY,GERMANY,1,3,8
17,transparent,AUSTRIA,ITALY,0,1,9
17,transparent,ENGLAND,ITALY,1,3,9
17,transparent,GERMANY,ITALY,1,8,9
17,transparent,ITALY,ITALY,1,9,9
17,transparent,RUSSIA,ITALY,0,6,9
17,transparent,TURKEY,ITALY,0,3,9
17,transparent,AUSTRIA,RUSSIA,0,1,6
17,transparent,ENGLAND,RUSSIA,1,3,6
17,transparent,GERMANY,RUSSIA,0,8,6
17,transparent,ITALY,RUSSIA,0,9,6
17,transparent,RUSSIA,RUSSIA,1,6,6
17,transparent,TURKEY,RUSSIA,0,3,6
17,transparent,AUSTRIA,TURKEY,1,1,3
17,transparent,ENGLAND,TURKEY,1,3,3
17,transparent,GERMANY,TURKEY,1,8,3
17,transparent,ITALY,TURKEY,0,9,3
17,transparent,RUSSIA,TURKEY,0,6,3
17,transparent,TURKEY,TURKEY,1,3,3
19,transparent,AUSTRIA,AUSTRIA,1,1,1
19,transparent,ENGLAND,AUSTRIA,1,3,1
19,transparent,GERMANY,AUSTRIA,1,8,1
19,transparent,ITALY,AUSTRIA,0,9,1
19,transparent,RUSSIA,AUSTRIA,0,6,1
19,transparent,TURKEY,AUSTRIA,0,3,1
19,transparent,AUSTRIA,ENGLAND,1,1,3
19,transparent,ENGLAND,ENGLAND,1,3,3
19,RL,FRANCE,ENGLAND,0,4,3
19,transparent,GERMANY,ENGLAND,1,8,3
19,transparent,ITALY,ENGLAND,1,9,3
19,transparent,RUSSIA,ENGLAND,1,6,3
19,transparent,TURKEY,ENGLAND,1,3,3
19,transparent,AUSTRIA,FRANCE,1,1,4
19,transparent,ENGLAND,FRANCE,0,3,4
19,RL,FRANCE,FRANCE,1,4,4
19,transparent,GERMANY,FRANCE,0,8,4
19,transparent,ITALY,FRANCE,1,9,4
19,transparent,RUSSIA,FRANCE,1,6,4
19,transparent,TURKEY,FRANCE,1,3,4
19,transparent,AUSTRIA,GERMANY,1,1,8
19,transparent,ENGLAND,GERMANY,0,3,8
19,transparent,GERMANY,GERMANY,1,8,8
19,transparent,ITALY,GERMANY,1,9,8
19,transparent,RUSSIA,GERMANY,1,6,8
19,transparent,TURKEY,GERMANY,1,3,8
19,transparent,AUSTRIA,ITALY,0,1,9
19,transparent,ENGLAND,ITALY,1,3,9
19,transparent,GERMANY,ITALY,1,8,9
19,transparent,ITALY,ITALY,1,9,9
19,transparent,RUSSIA,ITALY,0,6,9
19,transparent,TURKEY,ITALY,0,3,9
